,title,year,description,y
0,Abutres Humanos,2007,"O fim da Guerra de Secessão transformara o Sul dos Estados Unidos numa terra de injustiças, onde vigorava apenas uma lei, a lei dos vencedores. Os homens e famílias que haviam defendido o Exército Confederado, quando voltaram, encontraram suas terras invadidas e saqueadas.",1
1,Colarinho Branco,1980,"O gabinete do senador Henrique Portela atravessava a noite imerso na escuridão. E sempre fora assim. À uma hora da madrugada, todos os corredores e saldas do Senado estavam desertos e ninguém jamais imaginaria…",0
2,O Salário Terrível,1969,Uma rememoração da primeira missão da agente Baby para a CIA: Contrabando de esmeraldas da Colômbia para financiar a compra de armas pesadas em Cuba para uma revolução armada no Caribe.,0
3,O Filho do Impostor,1978,"No decorrer da história ele acaba se envolvendo com um gangster da pesada chamado Murdock, que tem um bando de safados trabalhando pra ele e que aperta o cerco em torno de Dickson até que este aceita fazer alguns trabalhos pra ele.",0
4,Proteção à Testemunha,2015,"Mari é uma jovem que esta vivendo nesta situação difícil. Testemunha de um assassinato frio e cruel ela pode tornar-se a próxima vitima. Não existe crime perfeito, mas existe dinheiro e falta de caráter! Se por um lado a vida nos derruba, por outro nos mostra como levantar e seguir em frente.",0
5,Voo Noturno,1931," Uma cabine de comando, um avião em meio à tempestade e à escuridão. Dois homens e uma equipe de apoio presos a um desafio… um hino de louvor à noite. As aventuras de um piloto e de um telegrafista enfrentando uma tempestade que atinge desde a Patagônia até a Cordilheira dos Andes.",1
6,O Templo Misterioso,1945," O Tenente Sagnier estava lutando na guerra. Treinar os legionários, ensiná-los a atirar e a sobreviver na selva era um trabalho árduo. Os vietnamitas também não eram adversários fáceis… Mas, e uma bela mulher… seria um adversário fácil de vencer?",1
7,Horas de Terror,1955," Raymond Duc, agente do Deuxíème Bureau, acabou de dar o laço em sua gravata borboleta, na frente do espelho. Estava contente com o tom bronzeado obtido depois de cinco dias consecutivos de praia. Aquela vidinha boa sem fazer nada…",1
8,No Paço da Morte,1974," Levando uma vida simples em Monterrey cuidando de sua granja, Irish não imaginava a mudança que teria em sua vida. Um faroeste onde os bandidos são implacáveis e cada dia nasce com um novo desafio para Irish e Clark. Será que conseguirão chegar com vida até o seu destino?.",0
9,Da Terra à Lua,1877," O Clube do Canhão quer construir a maior arma de guerra já vista. O objetivo: mandar um projétil à Lua! Nessa homenagem em formato de história em quadrinhos, o escritor e quadrinista Estevão Ribeiro reúnem em uma única narrativa os clássicos de Júlio Verne (Da Terra à Lua).",0
10,Léguas Submarinas,2000," Um misterioso monstro vem assombrando os oceanos. Destruindo navios e matando seua tripulantes. Publicado originalmente em 1870, 20.000 léguas submarinas é um exemplo clássico da visão e da imaginação de Júlio Verne. O pioneirismo de sua escrita fez com que fosse reconhecido como o pai da ficção científica.",0
11,A Volta ao Mundo,1873," Clássico da literatura juvenil, esta reedição comemora os 100 anos do autor Júlio Verne e conta a história de um inglês, Phileas Fogg, que tinha uma vida regrada e solitária, mas com muito dinheiro e, devido a uma aposta com seus amigos de jogo, resolve dar a volta ao mundo em oitenta dias.",1
12,Viagem Centro Terra,1864," Um pergaminho escrito a mão com letras rúnicas escorrega de um livro de 700 anos. Traz a mensagem que motiva o professor Lidenbrock e seu sobrinho Axel a partirem de Hamburgo, na Alemanha, para a mais estranha e arriscada expedição científica do século XIX!",1
13,A Visita do Diabo,1956," Localizada no maciço montanhoso do Grande Canyon Junction, Birlins já viveu dias de paz… Até a chegada de Charles King e seu bando, instalando o medo no pequeno povoado. Eram bandidos perigosos, mas que só agiam de acordo com as ordens do líder.",1
14,A morte é Sua Companheira,1975," Clint Garret, o Pistoleiro dos Olhos Azuis, pacificador de cidades; exterminados de bandidos. Justiceiro! A maldição de uma mulher morta sob o fogo do seu revólver o transforma num cavalheiro solitário em busca da paz. Mas o destino quer que ele seja sempre um matador!",0
15,A Diligência do Além,1943," Contratado para proteger a herdeira da companhia de diligências, o pistoleiro profissional Clint Jordan precisava encontrar provas contra o autor dos ataques freqüentes que a companhia de Leslie sofria. Com a ajuda de um amigo.",0
16,Fibra de Herói,1954," Os pesadelos de Betty a Vibora, como era conhecida em Portland, começaram quando Donald, amigo de john, sobrinho de Ben chegou na cidade. Betty dominava o negocio dos cabarés, o trafico de mulheres brancas era usual por estas bandas.",0
17,Mulheres Vendidas,1987," Quando slate chicoteou a mexicana Juanita, pensou que a tivesse matado. Mark Daniel a encontrou morimbunda e ela disse o nome do assassino: Slate. Desencadeando assim um jogo de gato e rato pelo deserto, terminando em Corona City.",0
18,A Lei dos Pistoleiros,1980," O jovem juiz Jeff Brocks despertava sempre uma desconfiança inicial onde era nomeado, e logo depois, o ódio, pois aplicava a lei rigorosamente e sem piedade. Quando se encarregou da violenta e sem lei, Silver City, passou a punir uma horda de malfeitores, encarregados de saloons irregulares.",1
19,Compromisso de Honra,1964," Estamos acostumados com mocinhos politicamente corretos, honestos, cavalheiros… Mas Common é atípico como mocinho! Mesmo assim, é de uma integridade ímpar! Já Burley é o típico mocinho dos velhos faroestes. Acompanhe mais esta aventura com dois mocinhos prontos pra qualquer coisa!",0
20,Vassalos da Destruição,1960,"O cenário: a Penitenciária dos Desesperados, localizada na pequena cidade de Yuma, distante quarenta quilômetros da fronteira com o México. Os protagonistas: três bandidos que, aproveitando-se da escuridão da madrugada, lograram evadir-se da prisão.",0
21,Os Dissolutos,1976," Amigos de faculdade Os três Centauros Selvagens, como eram conhecidos, foram chamados pelo seu antigo professor de faculdade, à pequena cidade, para que com a sua habilidade com as cartas conseguissem exterminar os jogadores trapaceiros que se iam apoderando do dinheiro da cidade, a intenção era repor a paz, sem os vícios do jogo.",1
22,Um Revólver para Uma Dama,1945," Alex Carter, tenta fugir do seu passado, onde é acusado de ter morto o próprio pai numa caçada, decidindo fugir, matando para se defender, torna-se defensor da lei, em Scott City, onde irá defrontar um juiz corrupto que detém a cidade sob seu mando através do medo e de suas fraudes.",1
23,Quando as Mulheres Atiram,1955," O amor de Nanny por rob era inabalavel, mas silencioso, o seu mundo acabou, quando descubriu que Rob, mandara vir do leste a sua futura esposa, Naany não conseguia entender como poderia Rob querer casar justo com a amada de seu irmão Joe.",0
24,Ouro Sangrento,1976," Rod era um caçador e gostava da solidão da montanha. A paz com os índios que viviam na- quelas terras, apesar de tênue estava se mantendo. Mas a estrada de ferro e a corrida do ouro estavam trazendo a civilização para as montanhas, e nem sempre as pessoas que estavam povoando as cidades.",1
25,Gosto de Pólvora,1965, Ben era um garoto de 16 anos que estava apaixonado por uma garota da vizinhança. Ao se deparar com a cena em que ela estava sendo atacada por malfeitores a salva. Após o ataque ela morre a caminho do médico. Após isso ele e a família são atacados a noite por mais malfeitores e ele os enfrenta e mata todos.,0
26,Rio do Ódio,1955," Crystal Dumein, só queria salvar o barco casino que fora de seu pai, fugindo ardilosamente de um casamento por obrigação envolve-se numa historia de amor não correspondida…. ou talvez não. As margens do rio de Nova Orleans serão palco destas aventuras com um final feliz.",1
27,Uma Forca á Sua Espera,1945," O gerente do banco é assassinado. Encontrado no local do crime, Pat Morrisson é o principal suspeito. Ele tinha dividas a saldar, e discutira com o morto, mais cedo, no mesmo dia. Julgado, Pat é condenado à forca. Porém, sua noiva Mona e o ajudante Ciryl vão sair à caça do verdadeiro assassino para libertar.",1
28,Oeste Vermelho,1940," Clemens Kent não pôde fazer nada para evitar aquilo. Todas as vantagens estavam com Archie Benson Mac Coy Júnior. Isto porque era filho do mandachuva do lugar: Archie Benson Tarleton, casado com a ricaça Sarah Mac Coy, que passara a chamar-se Sarah Benson.",0
29,Lua Comanche,1940," Clifford Marshand, caçador de peles, era atormentado por sonhos recorrentes onde um assassino que ele não conseguia identificar, matava jovens índias. Capturado pelo chefe dos comanches, já não tinha mais esperança de salvação. Seu destino seria escalpo e morte terrível.",0